achievement,engagement,completion,feedback,label
41,77,77,1.1,0
71,61,89,2.2,1
79,27,72,2.1,0
24,87,25,1.2,0
66,74,59,3.9,1
32,49,38,4.2,0
82,38,77,1.3,0
81,42,28,3.8,0
20,77,20,2.8,0
67,20,35,3.1,0
83,82,88,3.4,1
86,95,45,2.4,1
76,48,97,1.4,0
66,81,88,2.9,1
67,58,52,2.9,0
42,29,88,4.5,0
71,29,38,3.0,0
20,88,23,3.5,0
99,21,51,4.8,1
43,31,69,3.3,0
52,52,80,3.2,0
31,86,84,4.8,1
93,62,63,2.1,1
31,65,21,1.2,0
54,100,27,2.5,0
93,53,26,1.5,0
94,48,55,2.7,0
55,29,92,3.3,0
68,55,43,4.5,1
56,31,74,4.0,0
49,36,81,3.0,0
32,78,38,2.6,0
31,80,38,1.4,0
90,47,97,3.7,1
71,35,88,2.2,0
44,71,72,4.2,1
76,58,72,3.0,1
58,33,24,3.9,0
94,37,95,3.8,1
77,36,26,2.7,0
59,61,28,4.3,0
85,24,48,1.3,0
27,84,36,4.8,0
64,23,55,2.5,0
50,38,80,2.5,0
58,93,38,1.4,0
86,64,32,2.6,0
77,39,91,1.5,0
58,20,22,3.3,0
81,82,44,4.5,1
57,25,77,1.0,0
51,64,80,2.3,0
99,94,55,3.2,1
39,76,37,1.7,0
68,33,34,2.8,0
73,22,35,3.9,0
94,31,93,4.8,1
91,95,43,3.5,1
27,55,27,2.4,0
69,47,60,2.0,0
46,82,36,2.1,0
96,48,32,4.6,1
25,88,66,4.7,1
29,75,49,4.5,0
24,52,84,2.9,0
68,30,45,2.5,0
78,46,68,4.4,1
20,40,74,4.5,0
100,88,24,5.0,1
72,42,72,4.8,1
93,36,97,1.8,1
20,70,64,3.4,0
81,84,51,1.2,0
91,58,45,3.0,1
73,22,69,4.4,0
73,24,76,3.4,0
66,42,98,4.1,1
33,85,94,1.9,0
57,83,57,3.4,1
49,98,70,4.6,1
71,57,98,2.6,1
70,100,24,4.2,1
29,75,36,3.0,0
88,53,25,3.0,0
96,62,94,1.3,1
42,74,99,1.6,0
35,27,23,1.7,0
75,44,86,4.5,1
46,51,69,3.4,0
70,38,40,1.7,0
61,80,41,1.4,0
20,24,31,1.8,0
53,68,97,2.3,0
46,92,45,4.2,1
75,82,67,1.2,0
45,55,20,1.3,0
71,98,66,2.5,1
33,47,97,2.9,0
45,33,78,2.0,0
26,22,42,3.0,0
37,57,34,1.4,0
47,93,58,2.3,0
63,44,36,2.4,0
44,87,29,4.2,0
37,53,27,3.3,0
61,60,25,4.6,0
83,78,75,3.0,1
89,52,72,1.4,0
89,89,23,4.4,1
81,81,43,4.6,1
22,50,59,3.8,0
43,25,85,3.3,0
94,23,98,4.3,1
70,81,76,3.9,1
94,27,45,2.1,0
63,24,89,4.9,1
87,38,39,2.0,0
66,20,33,2.2,0
56,30,96,3.1,0
52,25,69,2.8,0
24,42,29,5.0,0
32,59,21,1.4,0
82,92,36,1.5,0
34,43,57,2.6,0
68,88,81,4.0,1
69,97,94,4.8,1
95,54,20,4.0,1
41,79,83,4.1,1
30,33,79,1.7,0
56,24,97,3.1,0
23,61,37,4.3,0
58,33,51,2.9,0
57,42,82,3.0,0
44,36,85,3.2,0
70,58,70,2.7,0
86,26,70,2.3,0
83,34,48,3.0,0
46,55,48,1.6,0
46,74,52,1.1,0
85,29,24,4.5,0
57,32,50,2.5,0
71,75,34,4.2,1
24,48,66,2.6,0
64,21,46,3.6,0
55,55,45,2.0,0
88,39,30,4.8,1
57,25,91,2.7,0
65,31,32,1.6,0
79,62,95,1.4,1
87,24,56,3.8,0
50,28,70,3.9,0
59,60,30,2.8,0
65,40,55,1.5,0
76,20,82,2.2,0
59,34,40,2.5,0
72,28,93,4.2,1
45,60,54,2.6,0
44,94,57,2.4,0
53,36,62,1.1,0
70,73,43,3.3,0
71,89,52,2.4,1
82,41,45,1.1,0
68,90,100,4.8,1
68,39,82,5.0,1
68,90,20,2.2,0
70,75,81,1.8,0
48,68,64,2.5,0
35,59,38,1.3,0
97,66,85,3.1,1
57,70,82,1.4,0
27,48,74,4.8,0
51,29,93,4.6,0
53,74,51,3.9,0
27,84,76,1.9,0
78,91,73,2.4,1
86,70,27,1.4,0
97,51,65,4.3,1
87,56,73,1.8,0
74,67,26,3.5,0
52,42,38,1.5,0
38,55,48,2.7,0
21,20,66,3.5,0
30,21,86,3.4,0
31,39,24,2.4,0
28,72,63,1.9,0
43,100,93,3.3,1
78,100,100,2.1,1
59,85,44,2.0,0
41,23,45,3.1,0
56,94,89,4.7,1
61,60,57,1.3,0
56,44,95,1.8,0
46,76,50,4.5,1
59,31,72,1.7,0
64,36,45,2.6,0
81,65,83,2.4,1
73,84,70,1.4,0
45,48,40,4.3,0
30,55,78,2.2,0
73,74,43,4.7,1
88,75,52,2.1,1
39,100,81,4.8,1
92,45,85,1.4,0
92,59,36,2.7,0
80,62,61,2.8,1
54,22,63,4.9,0
31,38,63,4.2,0
68,80,36,4.8,1
74,66,31,3.2,0
27,40,100,3.6,0
99,89,91,2.0,1
31,34,78,5.0,0
45,66,51,3.8,0
90,36,42,3.2,0
26,33,98,3.8,0
28,67,91,4.9,1
58,37,78,4.3,0
36,33,50,2.5,0
79,64,22,3.8,0
59,74,58,2.3,0
23,44,32,3.5,0
35,61,85,1.1,0
61,53,49,1.0,0
32,32,37,4.8,0
58,65,48,4.1,0
81,76,35,4.5,1
29,49,44,2.3,0
24,84,68,1.4,0
33,49,87,3.9,0
56,44,67,1.1,0
98,92,34,2.5,1
87,31,78,4.8,1
80,62,89,4.9,1
82,65,30,4.6,1
44,90,71,1.3,0
91,39,82,1.9,0
93,76,60,1.7,1
22,25,24,1.2,0
66,68,28,4.7,1
80,54,69,3.0,1
36,22,51,2.9,0
32,92,87,3.3,1
30,75,86,2.1,0
48,28,86,4.8,0
95,61,28,2.3,0
44,24,30,1.3,0
98,57,91,3.8,1
67,37,89,4.8,1
67,96,47,1.3,0
100,59,64,2.9,1
77,86,75,3.6,1
59,96,52,4.5,1
38,99,59,2.0,0
78,78,67,3.8,1
64,72,61,1.4,0
46,57,79,1.6,0
64,77,50,4.3,1
29,51,72,4.0,0
50,21,97,4.0,0
31,58,85,2.1,0
65,46,36,1.5,0
79,83,54,1.5,0
49,90,93,2.7,1
82,47,79,1.7,0
56,41,87,1.7,0
87,83,36,4.1,1
36,29,84,1.2,0
69,33,83,3.7,0
95,55,71,4.0,1
26,48,30,4.3,0
98,51,70,2.0,1
45,65,48,4.8,0
32,58,34,4.2,0
48,94,51,1.3,0
97,41,94,2.1,1
100,75,40,4.6,1
78,25,38,2.1,0
22,20,77,4.6,0
34,53,80,1.8,0
44,43,31,3.3,0
99,46,91,1.6,1
36,72,27,4.1,0
65,69,90,3.5,1
83,63,72,4.6,1
22,39,65,2.8,0
97,90,36,3.4,1
28,57,67,3.0,0
82,21,91,2.2,0
96,100,91,2.9,1
83,57,51,3.6,1
52,60,27,3.9,0
70,60,36,1.4,0
65,51,98,3.0,1
39,52,93,4.1,0
21,52,96,1.3,0
96,45,41,2.3,0
57,65,34,1.8,0
63,68,94,1.5,0
25,28,25,3.5,0
51,60,95,4.5,1
69,81,81,3.4,1
26,94,99,3.2,1
77,41,45,2.9,0
60,79,33,1.3,0
31,31,32,2.9,0
38,74,64,1.7,0
72,74,51,3.0,1
89,37,41,2.3,0
75,78,22,1.3,0
54,80,73,1.1,0
26,95,68,4.5,1
50,77,80,4.4,1
56,23,39,3.0,0
69,68,70,3.3,1
55,85,98,4.6,1
25,58,61,5.0,0
77,31,22,3.5,0
59,40,34,1.9,0
45,27,61,2.0,0
97,21,56,4.4,1
60,81,79,2.6,1
33,21,89,3.6,0
47,85,54,3.6,0
84,59,95,1.5,1
64,42,66,1.9,0
29,86,33,2.3,0
29,95,20,2.8,0
27,62,95,3.8,0
83,47,56,2.4,0
95,56,68,4.4,1
63,75,47,4.5,1
25,80,39,2.1,0
21,92,56,4.7,0
48,20,54,2.8,0
78,88,52,3.0,1
97,31,39,4.9,1
62,69,48,4.5,1
75,62,69,2.4,0
57,42,64,1.6,0
69,27,20,3.9,0
48,24,66,3.8,0
74,62,93,1.1,0
36,45,27,4.5,0
95,91,65,4.7,1
20,38,50,3.6,0
72,67,88,3.3,1
81,85,83,1.2,1
92,52,60,5.0,1
32,92,96,2.2,0
94,87,23,3.7,1
89,32,42,2.7,0
94,20,73,3.6,1
34,84,95,3.4,1
34,40,38,2.6,0
52,68,54,1.9,0
30,91,97,3.5,1
65,28,22,3.2,0
91,67,85,2.9,1
45,44,31,1.6,0
67,56,98,3.1,1
34,62,67,3.2,0
65,62,40,1.8,0
99,66,34,2.0,0
94,70,34,1.8,0
32,38,53,1.7,0
87,71,46,4.7,1
47,54,27,2.2,0
55,49,37,2.6,0
96,23,94,1.5,0
93,58,32,1.7,0
82,75,61,1.7,0
75,55,87,1.3,0
73,20,63,1.2,0
66,32,41,4.3,0
28,45,28,3.6,0
61,91,43,2.4,0
45,56,87,2.1,0
38,79,58,3.7,0
37,38,55,1.6,0
74,88,66,1.9,1
52,40,100,1.7,0
56,34,54,3.4,0
51,30,29,2.0,0
96,76,44,5.0,1
54,26,37,2.6,0
58,60,94,5.0,1
79,65,38,3.4,0
61,51,58,4.1,0
55,55,22,2.6,0
89,60,87,2.8,1
79,21,79,4.2,1
46,51,40,2.1,0
91,69,86,3.1,1
77,22,89,1.2,0
63,21,100,5.0,1
49,27,41,3.2,0
55,88,96,3.5,1
66,74,99,2.6,1
49,74,35,1.0,0
35,31,27,4.2,0
35,49,42,2.6,0
24,84,49,3.1,0
89,41,91,4.0,1
52,35,95,4.1,0
33,55,42,2.1,0
85,21,92,3.0,0
86,71,81,2.8,1
87,74,25,4.7,1
62,34,79,4.4,0
31,68,61,3.2,0
64,54,49,4.5,1
49,97,25,1.6,0
26,71,33,1.3,0
40,54,85,1.6,0
54,97,39,3.3,0
29,44,85,1.5,0
73,52,55,3.4,0
